student_id	username	first_name	last_name	age	grade	birthday
2024001	stu2024001	Jeremy	Stitch	5	1	01/01/2020
2024002	stu2024002	Quinton	Kocher	6	2	01/01/2019
2024003	stu2024003	Lander	Busse	7	3	01/01/2018
2024004	stu2024004	Badge	Busse	8	4	01/01/2017
2024005	stu2024005	Daniel	Beresky	9	5	01/01/2016
2024006	stu2024006	David	Beresky	10	6	01/01/2015
2024007	stu2024007	Derek	Beresky	11	7	01/01/2014
2024008	stu2024008	Ron	Allen	12	8	01/01/2013
2024009	stu2024009	William	Arthur	13	9	01/01/2012
2024010	stu2024010	Jeff	Bania	14	10	01/01/2011
2024011	stu2024011	Thomas	Brown	15	11	01/01/2010
2024012	stu2024012	Jeff	Clay	16	12	01/01/2009
2024013	stu2024013	Greg	Hochstetler	17	13	01/01/2008
2024014	stu2024014	Tim	Johnson	5	1	01/01/2020
2024015	stu2024015	Eric	Johnson	6	2	01/01/2019
2024016	stu2024016	Jerry	King	7	3	01/01/2018
2024017	stu2024017	James	Lambright	8	4	01/01/2017
2024018	stu2024018	Heath	Lambright	9	5	01/01/2016
2024019	stu2024019	Rod	Linville	10	6	01/01/2015
2024020	stu2024020	Brent	Lowe	11	7	01/01/2014
2024021	stu2024021	Rex	Lowe	12	8	01/01/2013
2024022	stu2024022	Brian	Miller	13	9	01/01/2012
2024023	stu2024023	Frank	Oren	14	10	01/01/2011
2024024	stu2024024	Matthew	Patsch	15	11	01/01/2010
2024025	stu2024025	Chris	Ricker	16	12	01/01/2009
2024026	stu2024026	Alan	Ripper	17	13	01/01/2008
2024027	stu2024027	Adam	Ripper	5	1	01/01/2020
2024028	stu2024028	Tim	Scheutzow	6	2	01/01/2019
2024029	stu2024029	Jim	Surratt	7	3	01/01/2018
2024030	stu2024030	George	Vermilyea	8	4	01/01/2017
2024031	stu2024031	Michael	Winter	9	5	01/01/2016
2024032	stu2024032	David	Winter	10	6	01/01/2015
2024033	stu2024033	Bill	Bixby	11	7	01/01/2014
2024034	stu2024034	Justin	Brenenstuhl	12	8	01/01/2013
2024035	stu2024035	Bruce	Collier	13	9	01/01/2012
2024036	stu2024036	Matthew	Hoert	14	10	01/01/2011
2024037	stu2024037	Chad	Hoert	15	11	01/01/2010
2024038	stu2024038	Joshua	Hoert	16	12	01/01/2009
2024039	stu2024039	Zach	Misenko	17	13	01/01/2008
2024040	stu2024040	Adam	Misenko	5	1	01/01/2020
2024041	stu2024041	Seth	Misenko	6	2	01/01/2019
2024042	stu2024042	Rob	Cook	7	3	01/01/2018
2024043	stu2024043	Shawn	Gebbie	8	4	01/01/2017
2024044	stu2024044	Christopher	Conwill	9	5	01/01/2016
2024045	stu2024045	David	Conwill	10	6	01/01/2015
2024046	stu2024046	David	Gillespie	11	7	01/01/2014
2024047	stu2024047	John Mark	Hershberger	12	8	01/01/2013
2024048	stu2024048	Kurt	Kramer	13	9	01/01/2012
2024049	stu2024049	Kenton	Kramer	14	10	01/01/2011
2024050	stu2024050	Tommy	Lamborn	15	11	01/01/2010
2024051	stu2024051	David	Lamborn	16	12	01/01/2009
2024052	stu2024052	Michael	Leach	17	13	01/01/2008
2024053	stu2024053	Jonathan	Sommer	5	1	01/01/2020
2024054	stu2024054	Timothy	McQuerry	6	2	01/01/2019
2024055	stu2024055	Todd	Meridith	7	3	01/01/2018
2024056	stu2024056	Sean	Miller	8	4	01/01/2017
2024057	stu2024057	Reed	Monegan	9	5	01/01/2016
2024058	stu2024058	Steve	Nowack	10	6	01/01/2015
2024059	stu2024059	Matthew	Oates	11	7	01/01/2014
2024060	stu2024060	Kevin	Payne	12	8	01/01/2013
2024061	stu2024061	Rick	Powers	13	9	01/01/2012
2024062	stu2024062	Joshua	Powers	14	10	01/01/2011
2024063	stu2024063	Ryan	Roberts	15	11	01/01/2010
2024064	stu2024064	Darin	Rosenvold	16	12	01/01/2009
2024065	stu2024065	Jeff	Roth	17	13	01/01/2008
2024066	stu2024066	Jonathan	Roth	5	1	01/01/2020
2024067	stu2024067	John	Sebestyen	6	2	01/01/2019
2024068	stu2024068	David	Snyder	7	3	01/01/2018
2024069	stu2024069	Timothy	Work	8	4	01/01/2017
2024070	stu2024070	Andrew	Male	9	5	01/01/2016
2024071	stu2024071	William	Surgeon	10	6	01/01/2015
2024072	stu2024072	Ben	toot	11	7	01/01/2014
2024073	stu2024073	Michael	Smith	12	8	01/01/2013
2024074	stu2024074	Robert	Ward	13	9	01/01/2012
2024075	stu2024075	Bob	Weinerheimer	14	10	01/01/2011
2024076	stu2024076	Jeff	Williams	15	11	01/01/2010
2024077	stu2024077	Bo	Wilson	16	12	01/01/2009
2024078	stu2024078	Bill	Wilson	17	13	01/01/2008
2024079	stu2024079	Brian	Wolf	5	1	01/01/2020
2024080	stu2024080	Jay	Hardback	6	2	01/01/2019
2024081	stu2024081	Joe	Phillips	7	3	01/01/2018
2024082	stu2024082	Linden	Phillips	8	4	01/01/2017
2024083	stu2024083	Tom	Smith	9	5	01/01/2016
2024084	stu2024084	Thomas	Ellison	10	6	01/01/2015
2024085	stu2024085	Ben	Legg	11	7	01/01/2014
2024086	stu2024086	Marty	Walker	12	8	01/01/2013
2024087	stu2024087	Bobby	Scandlon	13	9	01/01/2012
2024088	stu2024088	Patrick	Scandlon	14	10	01/01/2011
2024089	stu2024089	Willard	Scandlon	15	11	01/01/2010
2024090	stu2024090	Austin	Scandlon	16	12	01/01/2009
2024091	stu2024091	Jimmy	Myers	17	13	01/01/2008
2024092	stu2024092	Tony	Dulgar	5	1	01/01/2020
2024093	stu2024093	Clifford	Phillips	6	2	01/01/2019
2024094	stu2024094	Scott	Phillips	7	3	01/01/2018
2024095	stu2024095	Rodge	Campbel	8	4	01/01/2017
2024096	stu2024096	Matthew	Perkins	9	5	01/01/2016
2024097	stu2024097	Leroy	Meadows	10	6	01/01/2015
2024098	stu2024098	John	Mullins	11	7	01/01/2014
2024099	stu2024099	Clifford	Roop	12	8	01/01/2013
2024100	stu2024100	Timothy	Roop	13	9	01/01/2012
2024101	stu2024101	Kim	Roose	14	10	01/01/2011
2024102	stu2024102	Michael	Tanner	15	11	01/01/2010
2024103	stu2024103	Michael	Vanek	16	12	01/01/2009
2024104	stu2024104	Paul	Brentlinger	17	13	01/01/2008
2024105	stu2024105	Paul	DeHart	5	1	01/01/2020
2024106	stu2024106	Nate	DeHart	6	2	01/01/2019
2024107	stu2024107	Nate	Wolf	7	3	01/01/2018
2024108	stu2024108	Grant	Steyer	8	4	01/01/2017
2024109	stu2024109	Todd	Steyer	9	5	01/01/2016
2024110	stu2024110	Teddy	Guyulas	10	6	01/01/2015
2024111	stu2024111	Tommy	Guyulas	11	7	01/01/2014
2024112	stu2024112	Wyatt	Cravatas	12	8	01/01/2013
2024113	stu2024113	Michael	Deuring	13	9	01/01/2012
2024114	stu2024114	Aaron	Hicks	14	10	01/01/2011
2024115	stu2024115	Doug	Dougherty	15	11	01/01/2010
2024116	stu2024116	Matthew	Honaker	16	12	01/01/2009
2024117	stu2024117	Andrew	Konya	17	13	01/01/2008
2024118	stu2024118	Fred	Leach	5	1	01/01/2020
2024119	stu2024119	Cole	Morgan	6	2	01/01/2019
2024120	stu2024120	Keeler	North	7	3	01/01/2018
2024121	stu2024121	Jason	Routzon	8	4	01/01/2017
2024122	stu2024122	Jim	Shimer	9	5	01/01/2016
2024123	stu2024123	Kevin	Tinter	10	6	01/01/2015
2024124	stu2024124	Daniel	Tousley	11	7	01/01/2014
2024125	stu2024125	Paul	Tousley	12	8	01/01/2013
2024126	stu2024126	Adam	Whitney	13	9	01/01/2012
2024127	stu2024127	Seth	Whitney	14	10	01/01/2011
2024128	stu2024128	Wesley	Loudermilk	15	11	01/01/2010
2024129	stu2024129	Wesley	Ziegler	16	12	01/01/2009
2024130	stu2024130	Charles	Ziegler	17	13	01/01/2008
2024131	stu2024131	David	Mullins	5	1	01/01/2020
2024132	stu2024132	Scott	Severence	6	2	01/01/2019
2024133	stu2024133	Jason	Stephens	7	3	01/01/2018
2024134	stu2024134	Brad	Seivers	8	4	01/01/2017
2024135	stu2024135	Zach	Oswold	9	5	01/01/2016
2024136	stu2024136	Wes	Boggs	10	6	01/01/2015
2024137	stu2024137	Matthew	Strang	11	7	01/01/2014
2024138	stu2024138	David	Meisner	12	8	01/01/2013
