id	student_id	username	first_name	last_name	age	grade	birthday	email
2024001	2024001	stu2024001	Jeremy	Stitch	5	1	2020-01-01	stu2024001@school.net
2024002	2024002	stu2024002	Quinton	Kocher	6	2	2019-01-01	stu2024002@school.net
2024003	2024003	stu2024003	Lander	Busse	7	3	2018-01-01	stu2024003@school.net
2024004	2024004	stu2024004	Badge	Busse	8	4	2017-01-01	stu2024004@school.net
2024005	2024005	stu2024005	Daniel	Beresky	9	5	2016-01-01	stu2024005@school.net
2024006	2024006	stu2024006	David	Beresky	10	6	2015-01-01	stu2024006@school.net
2024007	2024007	stu2024007	Derek	Beresky	11	7	2014-01-01	stu2024007@school.net
2024008	2024008	stu2024008	Ron	Allen	12	8	2013-01-01	stu2024008@school.net
2024009	2024009	stu2024009	William	Arthur	13	9	2012-01-01	stu2024009@school.net
2024010	2024010	stu2024010	Jeff	Bania	14	10	2011-01-01	stu2024010@school.net
2024011	2024011	stu2024011	Thomas	Brown	15	11	2010-01-01	stu2024011@school.net
2024012	2024012	stu2024012	Jeff	Clay	16	12	2009-01-01	stu2024012@school.net
2024013	2024013	stu2024013	Greg	Hochstetler	17	13	2008-01-01	stu2024013@school.net
2024014	2024014	stu2024014	Tim	Johnson	5	1	2020-01-01	stu2024014@school.net
2024015	2024015	stu2024015	Eric	Johnson	6	2	2019-01-01	stu2024015@school.net
2024016	2024016	stu2024016	Jerry	King	7	3	2018-01-01	stu2024016@school.net
2024017	2024017	stu2024017	James	Lambright	8	4	2017-01-01	stu2024017@school.net
2024018	2024018	stu2024018	Heath	Lambright	9	5	2016-01-01	stu2024018@school.net
2024019	2024019	stu2024019	Rod	Linville	10	6	2015-01-01	stu2024019@school.net
2024020	2024020	stu2024020	Brent	Lowe	11	7	2014-01-01	stu2024020@school.net
2024021	2024021	stu2024021	Rex	Lowe	12	8	2013-01-01	stu2024021@school.net
2024022	2024022	stu2024022	Brian	Miller	13	9	2012-01-01	stu2024022@school.net
2024023	2024023	stu2024023	Frank	Oren	14	10	2011-01-01	stu2024023@school.net
2024024	2024024	stu2024024	Matthew	Patsch	15	11	2010-01-01	stu2024024@school.net
2024025	2024025	stu2024025	Chris	Ricker	16	12	2009-01-01	stu2024025@school.net
2024026	2024026	stu2024026	Alan	Ripper	17	13	2008-01-01	stu2024026@school.net
2024027	2024027	stu2024027	Adam	Ripper	5	1	2020-01-01	stu2024027@school.net
2024028	2024028	stu2024028	Tim	Scheutzow	6	2	2019-01-01	stu2024028@school.net
2024029	2024029	stu2024029	Jim	Surratt	7	3	2018-01-01	stu2024029@school.net
2024030	2024030	stu2024030	George	Vermilyea	8	4	2017-01-01	stu2024030@school.net
2024031	2024031	stu2024031	Michael	Winter	9	5	2016-01-01	stu2024031@school.net
2024032	2024032	stu2024032	David	Winter	10	6	2015-01-01	stu2024032@school.net
2024033	2024033	stu2024033	Bill	Bixby	11	7	2014-01-01	stu2024033@school.net
2024034	2024034	stu2024034	Justin	Brenenstuhl	12	8	2013-01-01	stu2024034@school.net
2024035	2024035	stu2024035	Bruce	Collier	13	9	2012-01-01	stu2024035@school.net
2024036	2024036	stu2024036	Matthew	Hoert	14	10	2011-01-01	stu2024036@school.net
2024037	2024037	stu2024037	Chad	Hoert	15	11	2010-01-01	stu2024037@school.net
2024038	2024038	stu2024038	Joshua	Hoert	16	12	2009-01-01	stu2024038@school.net
2024039	2024039	stu2024039	Zach	Misenko	17	13	2008-01-01	stu2024039@school.net
2024040	2024040	stu2024040	Adam	Misenko	5	1	2020-01-01	stu2024040@school.net
2024041	2024041	stu2024041	Seth	Misenko	6	2	2019-01-01	stu2024041@school.net
2024042	2024042	stu2024042	Rob	Cook	7	3	2018-01-01	stu2024042@school.net
2024043	2024043	stu2024043	Shawn	Gebbie	8	4	2017-01-01	stu2024043@school.net
2024044	2024044	stu2024044	Christopher	Conwill	9	5	2016-01-01	stu2024044@school.net
2024045	2024045	stu2024045	David	Conwill	10	6	2015-01-01	stu2024045@school.net
2024046	2024046	stu2024046	David	Gillespie	11	7	2014-01-01	stu2024046@school.net
2024047	2024047	stu2024047	John Mark	Hershberger	12	8	2013-01-01	stu2024047@school.net
2024048	2024048	stu2024048	Kurt	Kramer	13	9	2012-01-01	stu2024048@school.net
2024049	2024049	stu2024049	Kenton	Kramer	14	10	2011-01-01	stu2024049@school.net
2024050	2024050	stu2024050	Tommy	Lamborn	15	11	2010-01-01	stu2024050@school.net
2024051	2024051	stu2024051	David	Lamborn	16	12	2009-01-01	stu2024051@school.net
2024052	2024052	stu2024052	Michael	Leach	17	13	2008-01-01	stu2024052@school.net
2024053	2024053	stu2024053	Jonathan	Sommer	5	1	2020-01-01	stu2024053@school.net
2024054	2024054	stu2024054	Timothy	McQuerry	6	2	2019-01-01	stu2024054@school.net
2024055	2024055	stu2024055	Todd	Meridith	7	3	2018-01-01	stu2024055@school.net
2024056	2024056	stu2024056	Sean	Miller	8	4	2017-01-01	stu2024056@school.net
2024057	2024057	stu2024057	Reed	Monegan	9	5	2016-01-01	stu2024057@school.net
2024058	2024058	stu2024058	Steve	Nowack	10	6	2015-01-01	stu2024058@school.net
2024059	2024059	stu2024059	Matthew	Oates	11	7	2014-01-01	stu2024059@school.net
2024060	2024060	stu2024060	Kevin	Payne	12	8	2013-01-01	stu2024060@school.net
2024061	2024061	stu2024061	Rick	Powers	13	9	2012-01-01	stu2024061@school.net
2024062	2024062	stu2024062	Joshua	Powers	14	10	2011-01-01	stu2024062@school.net
2024063	2024063	stu2024063	Ryan	Roberts	15	11	2010-01-01	stu2024063@school.net
2024064	2024064	stu2024064	Darin	Rosenvold	16	12	2009-01-01	stu2024064@school.net
2024065	2024065	stu2024065	Jeff	Roth	17	13	2008-01-01	stu2024065@school.net
2024066	2024066	stu2024066	Jonathan	Roth	5	1	2020-01-01	stu2024066@school.net
2024067	2024067	stu2024067	John	Sebestyen	6	2	2019-01-01	stu2024067@school.net
2024068	2024068	stu2024068	David	Snyder	7	3	2018-01-01	stu2024068@school.net
2024069	2024069	stu2024069	Timothy	Work	8	4	2017-01-01	stu2024069@school.net
2024070	2024070	stu2024070	Andrew	Male	9	5	2016-01-01	stu2024070@school.net
2024071	2024071	stu2024071	William	Surgeon	10	6	2015-01-01	stu2024071@school.net
2024072	2024072	stu2024072	Ben	toot	11	7	2014-01-01	stu2024072@school.net
2024073	2024073	stu2024073	Michael	Smith	12	8	2013-01-01	stu2024073@school.net
2024074	2024074	stu2024074	Robert	Ward	13	9	2012-01-01	stu2024074@school.net
2024075	2024075	stu2024075	Bob	Weinerheimer	14	10	2011-01-01	stu2024075@school.net
2024076	2024076	stu2024076	Jeff	Williams	15	11	2010-01-01	stu2024076@school.net
2024077	2024077	stu2024077	Bo	Wilson	16	12	2009-01-01	stu2024077@school.net
2024078	2024078	stu2024078	Bill	Wilson	17	13	2008-01-01	stu2024078@school.net
2024079	2024079	stu2024079	Brian	Wolf	5	1	2020-01-01	stu2024079@school.net
2024080	2024080	stu2024080	Jay	Hardback	6	2	2019-01-01	stu2024080@school.net
2024081	2024081	stu2024081	Joe	Phillips	7	3	2018-01-01	stu2024081@school.net
2024082	2024082	stu2024082	Linden	Phillips	8	4	2017-01-01	stu2024082@school.net
2024083	2024083	stu2024083	Tom	Smith	9	5	2016-01-01	stu2024083@school.net
2024084	2024084	stu2024084	Thomas	Ellison	10	6	2015-01-01	stu2024084@school.net
2024085	2024085	stu2024085	Ben	Legg	11	7	2014-01-01	stu2024085@school.net
2024086	2024086	stu2024086	Marty	Walker	12	8	2013-01-01	stu2024086@school.net
2024087	2024087	stu2024087	Bobby	Scandlon	13	9	2012-01-01	stu2024087@school.net
